trans_hour,purchase_category,city_population,purchase_city_lat,purchase_city_long,amount,age,occupation,merchant_name,is_fraud
0,3,145,64.7556,-165.6723,14.37,80,1,179,1
15,11,145,64.7556,-165.6723,966.11,80,1,564,1
22,9,145,64.7556,-165.6723,49.61,80,1,682,1
23,4,145,64.7556,-165.6723,295.26,80,1,537,1
23,5,145,64.7556,-165.6723,18.17,80,1,352,1
3,2,145,64.7556,-165.6723,20.45,80,1,140,1
3,2,145,64.7556,-165.6723,18.19,80,1,395,1
11,4,602,40.029,-93.1607,367.29,65,77,553,1
18,8,145,64.7556,-165.6723,768.15,80,1,519,1
22,8,145,64.7556,-165.6723,849.49,80,1,324,1
22,11,602,40.029,-93.1607,1177.79,65,77,44,1
22,4,145,64.7556,-165.6723,307.09,80,1,116,1
22,7,145,64.7556,-165.6723,4.58,80,1,59,1
22,12,145,64.7556,-165.6723,730.78,80,1,562,1
22,11,145,64.7556,-165.6723,1006.4,80,1,370,1
22,12,145,64.7556,-165.6723,830.72,80,1,8,1
23,4,145,64.7556,-165.6723,311.92,80,1,549,1
23,12,602,40.029,-93.1607,762.93,65,77,231,1
18,11,602,40.029,-93.1607,855.88,65,77,347,1
23,11,602,40.029,-93.1607,909.29,65,77,365,1
1,2,2202,41.0233,-98.9041,7.04,45,35,482,1
15,12,2202,41.0233,-98.9041,644.4,45,35,446,1
23,8,2202,41.0233,-98.9041,784.77,45,35,468,1
23,11,2202,41.0233,-98.9041,1116.8,45,35,79,1
0,4,2202,41.0233,-98.9041,320.6,45,35,445,1
1,4,2202,41.0233,-98.9041,276.8,45,35,133,1
2,4,2202,41.0233,-98.9041,336.2,45,35,661,1
21,11,973849,37.3304,-121.7913,994.92,64,145,642,1
22,11,2202,41.0233,-98.9041,1062.95,45,35,665,1
22,12,2202,41.0233,-98.9041,770.94,45,35,157,1
23,8,973849,37.3304,-121.7913,816.89,64,145,190,1
23,0,2202,41.0233,-98.9041,510.59,45,35,491,1
23,4,973849,37.3304,-121.7913,307.5,64,145,483,1
23,8,973849,37.3304,-121.7913,790.35,64,145,134,1
23,11,2202,41.0233,-98.9041,1065.43,45,35,463,1
0,4,973849,37.3304,-121.7913,306.81,64,145,570,1
0,2,973849,37.3304,-121.7913,12.57,64,145,555,1
0,4,73,41.4193,-99.3844,324.87,84,133,544,1
1,3,73,41.4193,-99.3844,16.44,84,133,283,1
1,4,973849,37.3304,-121.7913,277.53,64,145,174,1
2,3,73,41.4193,-99.3844,13.2,84,133,193,1
8,3,73,41.4193,-99.3844,12.95,84,133,456,1
9,2,973849,37.3304,-121.7913,8.25,64,145,73,1
16,12,73,41.4193,-99.3844,839.35,84,133,7,1
22,12,973849,37.3304,-121.7913,969.64,64,145,247,1
23,11,73,41.4193,-99.3844,1034.21,84,133,142,1
23,1,73,41.4193,-99.3844,121.62,84,133,85,1
1,3,73,41.4193,-99.3844,15.05,84,133,666,1
22,8,73,41.4193,-99.3844,851.71,84,133,458,1
23,11,73,41.4193,-99.3844,1124.01,84,133,105,1
23,11,73,41.4193,-99.3844,1140.41,84,133,144,1
1,9,46,38.9999,-109.615,795.59,32,37,117,1
8,2,46,38.9999,-109.615,9.79,32,37,482,1
22,6,46,38.9999,-109.615,187.35,32,37,486,1
22,0,46,38.9999,-109.615,564.34,32,37,125,1
0,11,46,38.9999,-109.615,978.96,32,37,268,1
3,11,46,38.9999,-109.615,849.79,32,37,440,1
3,11,46,38.9999,-109.615,955.4,32,37,578,1
14,10,46,38.9999,-109.615,21.54,32,37,615,1
22,0,46,38.9999,-109.615,528.98,32,37,245,1
22,10,46,38.9999,-109.615,21.23,32,37,232,1
23,13,46,38.9999,-109.615,9.33,32,37,222,1
23,0,46,38.9999,-109.615,386.91,32,37,677,1
1,4,126,34.298,-114.156,329.83,27,113,71,1
4,4,126,34.298,-114.156,298.01,27,113,471,1
22,8,126,34.298,-114.156,1043.38,27,113,322,1
22,11,126,34.298,-114.156,1189.69,27,113,472,1
23,4,126,34.298,-114.156,289.8,27,113,518,1
23,12,126,34.298,-114.156,795.01,27,113,351,1
0,4,126,34.298,-114.156,296.87,27,113,327,1
1,4,126,34.298,-114.156,294.02,27,113,381,1
2,4,1241364,32.7185,-117.1593,295.07,32,73,450,1
